 ,Made Donation in March 2007
659,0.483008474
276,0.117863365
263,0.147665203
303,0.147410005
83,0.644159317
500,0.686217487
530,0.283555359
244,0.110301971
249,0.080986455
728,0.068610437
129,0.198260933
534,0.106977902
317,0.199554637
401,0.147665203
696,0.256675541
192,0.120300286
176,0.165857881
571,0.422209114
139,0.133897319
423,0.169372797
563,0.586467624
56,0.613349557
528,0.623562753
101,0.147665203
467,0.192794457
382,0.358179539
466,0.296200007
294,0.110301971
512,0.139320076
659,0.483008474
389,0.358179539
487,0.089281037
701,0.165640473
419,0.127849638
536,0.161434904
240,0.160419419
508,0.180238575
515,0.110301971
283,0.402862996
650,0.147665203
65,0.450590879
228,0.147275537
741,0.088745221
297,0.434054822
464,0.08769834
63,0.165640473
231,0.498397261
28,0.082048841
248,0.110301971
357,0.107849151
300,0.447507858
726,0.605383754
680,0.11413601
520,0.641762435
254,0.071465589
582,0.197258711
143,0.156429872
98,0.714945257
1,0.235278279
221,0.435076624
352,0.147665203
64,0.104960829
138,0.156466439
745,0.393286884
64,0.104960829
688,0.076991647
623,0.088859588
289,0.088533536
174,0.301406652
690,0.147665203
105,0.235763907
427,0.107886001
48,0.070775971
14,0.147665203
657,0.066467322
301,0.106977902
455,0.11755579
579,0.137219042
722,0.121987388
98,0.714945257
491,0.070775971
303,0.147410005
466,0.296200007
65,0.450590879
300,0.447507858
9,0.105139092
622,0.120300286
323,0.10159304
289,0.088533536
568,0.247789577
290,0.147665203
156,0.133452609
464,0.08769834
426,0.12169724
306,0.072979011
4,0.16117914
12,0.289081454
187,0.203476906
406,0.135657623
96,0.283555359
509,0.165640473
733,0.09784326
548,0.137753278
478,0.453581363
501,0.203853816
127,0.582177043
199,0.152490675
299,0.453551203
162,0.147665203
235,0.157218307
23,0.196822166
473,0.147665203
487,0.089281037
683,0.649676979
303,0.147410005
309,0.071938097
569,0.070775971
34,0.652561009
686,0.663049638
84,0.11261487
733,0.09784326
537,0.570792854
181,0.139510959
453,0.61581254
67,0.370886534
161,0.393286884
307,0.193871647
703,0.138875633
181,0.139510959
246,0.127557278
316,0.432143629
278,0.120300286
346,0.272832602
545,0.147665203
419,0.127849638
694,0.283555359
622,0.120300286
663,0.101755209
262,0.653719068
461,0.155930459
373,0.613215625
233,0.147665203
466,0.296200007
207,0.156429872
263,0.147665203
16,0.070775971
513,0.137888253
449,0.595808446
429,0.066058487
701,0.165640473
632,0.073466867
529,0.559080362
245,0.136530504
344,0.151169956
353,0.157218307
241,0.211376667
633,0.105139092
624,0.165640473
726,0.605383754
189,0.120300286
138,0.156466439
402,0.110301971
511,0.428533822
590,0.179628566
334,0.152359292
447,0.071498193
119,0.296200007
389,0.358179539
644,0.147665203
423,0.169372797
131,0.070775971
405,0.073206507
82,0.147665203
643,0.613215625
156,0.133452609
617,0.098831631
574,0.514956117
272,0.155930459
613,0.088662505
545,0.147665203
685,0.110301971
570,0.252179295
537,0.570792854
691,0.105139092
85,0.442058951
483,0.127557278
455,0.11755579
93,0.120300286
744,0.165640473
33,0.127557278
321,0.507848978
523,0.117479309
426,0.12169724
196,0.072065704
301,0.106977902
103,0.105139092
224,0.09255711
454,0.125742614
585,0.094910003
154,0.2523911
