 ,Made Donation in March 2007
659,0.482842428
276,0.124374532
263,0.173902069
303,0.193962888
83,0.636780906
500,0.662370393
530,0.230488556
244,0.086459728
249,0.049206511
728,0.040999098
129,0.208240803
534,0.130771351
317,0.241069155
401,0.173902069
696,0.401413718
192,0.135338592
176,0.164947017
571,0.39309543
139,0.167247197
423,0.268832302
563,0.614902872
56,0.564222863
528,0.521407975
101,0.173902069
467,0.152373247
382,0.372988662
466,0.322822751
294,0.086459728
512,0.266320164
659,0.482842428
389,0.374708847
487,0.094045913
701,0.194002389
419,0.173562774
536,0.134515158
240,0.173270489
508,0.141112628
515,0.086459728
283,0.58169001
650,0.173902069
65,0.369442665
228,0.168274197
741,0.06386554
297,0.47374439
464,0.081051504
63,0.194002389
231,0.523136859
28,0.082146526
248,0.086459728
357,0.120499117
300,0.462545893
726,0.477087333
680,0.126267092
520,0.52897359
254,0.065448233
582,0.214298484
143,0.157057825
98,0.607441164
1,0.210207486
221,0.450376594
352,0.173902069
64,0.080903239
138,0.207714429
745,0.397524956
64,0.080903239
688,0.060970619
623,0.091998593
289,0.15528888
174,0.418738746
690,0.173902069
105,0.197326056
427,0.136577365
48,0.067619577
14,0.173902069
657,0.058091453
301,0.130771351
455,0.107010997
579,0.192686831
722,0.113155071
98,0.607441164
491,0.067619577
303,0.193962888
466,0.322822751
65,0.369442665
300,0.462545893
9,0.086804393
622,0.135338592
323,0.069830674
289,0.15528888
568,0.350800378
290,0.173902069
156,0.131656162
464,0.081051504
426,0.089140994
306,0.14151259
4,0.191487921
12,0.472351101
187,0.228826671
406,0.139834384
96,0.230488556
509,0.194002389
733,0.115988647
548,0.099041263
478,0.381679915
501,0.18657229
127,0.543931308
199,0.189135082
299,0.558324829
162,0.173902069
235,0.169260731
23,0.193425623
473,0.173902069
487,0.094045913
683,0.598170063
303,0.193962888
309,0.063742858
569,0.071040545
34,0.604088192
686,0.634123504
84,0.125340965
733,0.115988647
537,0.607369072
181,0.139823458
453,0.511520969
67,0.443252566
161,0.407850398
307,0.254249244
703,0.176507901
181,0.139823458
246,0.12505627
316,0.475711817
278,0.135338592
346,0.230451907
545,0.173902069
419,0.173562774
694,0.230488556
622,0.135338592
663,0.073498752
262,0.643703396
461,0.190562771
373,0.558787187
233,0.173902069
466,0.322822751
207,0.157057825
263,0.173902069
16,0.071040545
513,0.097593191
449,0.498876138
429,0.039523291
701,0.194002389
632,0.065705626
529,0.587580001
245,0.176173273
344,0.165558228
353,0.154793056
241,0.300777079
633,0.054399397
624,0.194002389
726,0.477087333
189,0.135338592
138,0.207714429
402,0.086459728
511,0.510640288
590,0.311022421
334,0.143141364
447,0.059762874
119,0.322822751
389,0.374708847
644,0.173902069
423,0.268832302
131,0.071040545
405,0.068614854
82,0.173902069
643,0.558787187
156,0.131656162
617,0.073788529
574,0.415611773
272,0.188469924
613,0.069165662
545,0.173902069
685,0.086459728
570,0.181937111
537,0.607369072
691,0.054399397
85,0.441715092
483,0.12505627
455,0.107010997
93,0.135338592
744,0.194002389
33,0.12505627
321,0.549315505
523,0.142634856
426,0.089140994
196,0.065841464
301,0.130771351
103,0.054399397
224,0.089371602
454,0.133296155
585,0.071099704
154,0.397927451
