 ,Made Donation in March 2007
659,0.48010712
276,0.132980473
263,0.17680729
303,0.17150027
83,0.625424208
500,0.647751982
530,0.243097471
244,0.0825863
249,0.042443322
728,0.04943832
129,0.204753051
534,0.117539958
317,0.292733919
401,0.17680729
696,0.339471468
192,0.112363497
176,0.158607887
571,0.37256068
139,0.147547245
423,0.238827261
563,0.60950613
56,0.594986472
528,0.528681571
101,0.17680729
467,0.158185213
382,0.386436272
466,0.307253304
294,0.0825863
512,0.250489876
659,0.48010712
389,0.405497311
487,0.112174409
701,0.18700835
419,0.174696184
536,0.143913935
240,0.154599189
508,0.158993228
515,0.0825863
283,0.590515951
650,0.17680729
65,0.371941233
228,0.162007819
741,0.092663154
297,0.500837625
464,0.079266174
63,0.18700835
231,0.394002285
28,0.088635457
248,0.0825863
357,0.133105994
300,0.47628933
726,0.480637797
680,0.163109481
520,0.55937237
254,0.05426341
582,0.189839204
143,0.183465014
98,0.603649357
1,0.198001753
221,0.475211191
352,0.17680729
64,0.085250603
138,0.195700377
745,0.423886754
64,0.085250603
688,0.058122019
623,0.071273911
289,0.148674335
174,0.370969948
690,0.17680729
105,0.181132077
427,0.147050949
48,0.06472356
14,0.17680729
657,0.042459735
301,0.117539958
455,0.098066605
579,0.210725307
722,0.106449096
98,0.603649357
491,0.06472356
303,0.17150027
466,0.307253304
65,0.371941233
300,0.47628933
9,0.095619416
622,0.112363497
323,0.066823315
289,0.148674335
568,0.294724887
290,0.17680729
156,0.122475329
464,0.079266174
426,0.092255759
306,0.146714438
4,0.177628551
12,0.505417296
187,0.19746227
406,0.136204689
96,0.243097471
509,0.18700835
733,0.10924068
548,0.068653925
478,0.319360363
501,0.177281302
127,0.427574476
199,0.180539351
299,0.553321852
162,0.17680729
235,0.196406819
23,0.189975076
473,0.17680729
487,0.112174409
683,0.6058879
303,0.17150027
309,0.049710634
569,0.064582218
34,0.613280926
686,0.63836986
84,0.149504784
733,0.10924068
537,0.583052984
181,0.115698316
453,0.525230111
67,0.452326385
161,0.448812651
307,0.26249414
703,0.144338618
181,0.115698316
246,0.118266054
316,0.507063746
278,0.112363497
346,0.227323272
545,0.17680729
419,0.174696184
694,0.243097471
622,0.112363497
663,0.067398216
262,0.632903632
461,0.220111176
373,0.544367056
233,0.17680729
466,0.307253304
207,0.183465014
263,0.17680729
16,0.064582218
513,0.068843063
449,0.499359554
429,0.028490447
701,0.18700835
632,0.079457016
529,0.584770403
245,0.156636996
344,0.179403629
353,0.166598954
241,0.276503514
633,0.064675251
624,0.18700835
726,0.480637797
189,0.112363497
138,0.195700377
402,0.0825863
511,0.564355723
590,0.33159845
334,0.147695811
447,0.045256494
119,0.307253304
389,0.405497311
644,0.17680729
423,0.238827261
131,0.064582218
405,0.065186523
82,0.17680729
643,0.544367056
156,0.122475329
617,0.053588702
574,0.387167896
272,0.219107295
613,0.064446135
545,0.17680729
685,0.0825863
570,0.183171608
537,0.583052984
691,0.064675251
85,0.47457458
483,0.118266054
455,0.098066605
93,0.112363497
744,0.18700835
33,0.118266054
321,0.534827807
523,0.136008153
426,0.092255759
196,0.082934102
301,0.117539958
103,0.064675251
224,0.093497628
454,0.132533422
585,0.073903239
154,0.417177944
