 ,Made Donation in March 2007
659,0.548159659
276,0.171187744
263,0.249448687
303,0.256382823
83,0.602957249
500,0.642415404
530,0.291642874
244,0.206358284
249,0.175857738
728,0.176689044
129,0.215268523
534,0.2249901
317,0.286274016
401,0.249448687
696,0.437017322
192,0.202705249
176,0.176849619
571,0.301735908
139,0.214587584
423,0.320092916
563,0.568037987
56,0.544862866
528,0.584486961
101,0.249448687
467,0.234806985
382,0.447504848
466,0.322317302
294,0.206358284
512,0.304838061
659,0.548159659
389,0.447504848
487,0.176689044
701,0.251307935
419,0.22243841
536,0.234806985
240,0.176849619
508,0.234806985
515,0.206358284
283,0.524169624
650,0.249448687
65,0.491653621
228,0.224836037
741,0.176689044
297,0.437017322
464,0.198584005
63,0.251307935
231,0.558734775
28,0.175857738
248,0.206358284
357,0.171187744
300,0.548159659
726,0.593028128
680,0.171187744
520,0.520237088
254,0.175857738
582,0.299648285
143,0.22243841
98,0.569780707
1,0.24985683
221,0.548159659
352,0.249448687
64,0.2249901
138,0.225884899
745,0.499239534
64,0.2249901
688,0.198584005
623,0.227020353
289,0.170376956
174,0.347144753
690,0.249448687
105,0.222289801
427,0.171187744
48,0.170376956
14,0.249448687
657,0.176689044
301,0.2249901
455,0.214587584
579,0.22243841
722,0.226887599
98,0.569780707
491,0.170376956
303,0.256382823
466,0.322317302
65,0.491653621
300,0.548159659
9,0.206358284
622,0.202705249
323,0.214587584
289,0.170376956
568,0.437017322
290,0.249448687
156,0.217709765
464,0.198584005
426,0.215268523
306,0.202183455
4,0.256382823
12,0.384937882
187,0.28417483
406,0.239245206
96,0.291642874
509,0.251307935
733,0.2249901
548,0.214587584
478,0.243562162
501,0.211499751
127,0.558734775
199,0.225884899
299,0.597442389
162,0.249448687
235,0.215268523
23,0.232300624
473,0.249448687
487,0.176689044
683,0.62028867
303,0.256382823
309,0.175857738
569,0.170376956
34,0.625462055
686,0.642415404
84,0.234806985
733,0.2249901
537,0.59470284
181,0.205862403
453,0.618991613
67,0.539701164
161,0.499239534
307,0.242308363
703,0.211499751
181,0.205862403
246,0.215268523
316,0.461403131
278,0.202705249
346,0.211499751
545,0.249448687
419,0.22243841
694,0.291642874
622,0.202705249
663,0.2249901
262,0.628683984
461,0.22243841
373,0.63402307
233,0.249448687
466,0.322317302
207,0.22243841
263,0.249448687
16,0.170376956
513,0.225884899
449,0.500895917
429,0.175857738
701,0.251307935
632,0.175857738
529,0.593402386
245,0.209559292
344,0.226887599
353,0.215268523
241,0.279586762
633,0.206358284
624,0.251307935
726,0.593028128
189,0.202705249
138,0.225884899
402,0.206358284
511,0.504928231
590,0.239620462
334,0.217709765
447,0.175857738
119,0.322317302
389,0.447504848
644,0.249448687
423,0.320092916
131,0.170376956
405,0.170376956
82,0.249448687
643,0.63402307
156,0.217709765
617,0.198584005
574,0.48043102
272,0.22243841
613,0.2249901
545,0.249448687
685,0.206358284
570,0.233871847
537,0.59470284
691,0.206358284
85,0.52110374
483,0.215268523
455,0.214587584
93,0.202705249
744,0.251307935
33,0.215268523
321,0.608435929
523,0.234806985
426,0.215268523
196,0.175857738
301,0.2249901
103,0.206358284
224,0.178082183
454,0.202183455
585,0.178082183
154,0.472075462
